shop,description,vector,naf_division
trailer,Shop focused on selling trailers and parts and/or repairing / renting them,"[-0.17565012  0.21454316  0.54097419 -0.3615984   0.57817946 -0.03459204
 -0.14720298 -0.14998291 -0.00691688]",Industries alimentaires
truck,Shop focused on selling trucks and other commercial vehicles,"[-0.20696248  0.21135766  0.54360669 -0.31382232  0.56924516 -0.02297093
 -0.14562474 -0.1963376   0.01564858]","Commerce de détail, à l’exception des automobiles et des motocycles"
tyres,Shop focused on selling tyres.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
art,"Shop which sells works of art. May be paintings, sculpture, or other types of art","[-0.22908919  0.2263789   0.6482634  -0.37909335  0.66688822 -0.04305426
 -0.16564708 -0.21385728  0.0008442 ]",Autres industries manufacturières
camera,A shop mainly selling cameras and lenses,"[-0.18595539  0.26900326  0.67051654 -0.43730332  0.66698815 -0.01243271
 -0.21944796 -0.21808311 -0.00994734]",Autres industries manufacturières
collector,"A shop for different collector's items like stamps, coins, action figures, etc.","[-1.75723365e-01  2.23953279e-01  6.33531665e-01 -3.84444634e-01
  5.81015110e-01  2.44031971e-04 -1.71738615e-01 -1.77222397e-01
 -1.75295987e-03]",Fabrication de textiles
craft,"An arts and crafts supply store. Commonly sold items are paper, canvas, paint, pencils, crafting wood, crafting tools, etc. – look at craft=*","[-0.18659463  0.2218267   0.57542472 -0.34330379  0.56301611 -0.02729368
 -0.16487289 -0.20567653 -0.00796932]",Fabrication de textiles
frame,Shop focused on selling frames.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Industries alimentaires
games,"Shop focused on selling board games, card games and/or role-playing games.","[-0.21886201  0.21817396  0.51472014 -0.29592206  0.5376359  -0.07333054
 -0.09163915 -0.15148667 -0.05585909]",Autres industries manufacturières
model,Shop specialising in the sale of scale models.,"[-0.24063666  0.26218455  0.6712449  -0.35087121  0.66428401 -0.03930772
 -0.15578628 -0.24228523 -0.01367664]",Autres industries manufacturières
music,Shop focused on selling recorded music (vinyl/CDs/...),"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Restauration
musical_instrument,"Shop focused on selling musical instruments, lyrics, scores. If focused on a specific instrument, specify with musical_instrument=*","[-0.1881153   0.20038566  0.58732181 -0.34155794  0.62452041 -0.02315838
 -0.14407446 -0.19024217  0.00792137]","Programmation, conseil et autres activités informatiques"
photo,Shop focused on selling products or services related with photography.,"[-0.20913673  0.23955001  0.63495329 -0.3241455   0.63201732 -0.05308782
 -0.10417205 -0.16464475  0.00295674]",Industries alimentaires
trophy,"Store selling trophies, awards, plaques etc.","[-0.18746714  0.23636926  0.58209126 -0.39876225  0.60582419  0.02126994
 -0.19147503 -0.14370896  0.04056568]","Activités des services financiers, hors assurance et caisses de retraite"
video,Shop focused on selling or renting out videos/DVDs.,"[-0.18974171  0.18714426  0.60876254 -0.30256715  0.58436143 -0.05218063
 -0.11895948 -0.16656845 -0.00869856]",Restauration
video_games,Shop focused on selling video games.,"[-0.22807974  0.23253791  0.56797966 -0.29394292  0.56958959 -0.07272991
 -0.10938489 -0.160377   -0.0346846 ]",Autres industries manufacturières
anime,Shop focused on selling anime stuff.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
books,"Shop focused on selling books (for a library that lends books, see amenity=library)","[-1.81587246e-01  2.37622345e-01  6.27295583e-01 -3.78834895e-01
  6.42040891e-01  1.13105070e-02 -1.83021600e-01 -2.12442260e-01
 -1.18532850e-04]",Activités auxiliaires de services financiers et d’assurance
gift,"Shop focused on selling gifts, greeting cards, or tourist gifts (souvenirs)","[-0.23892904  0.23929675  0.68475616 -0.34312037  0.69501564 -0.0728346
 -0.13257739 -0.20317648 -0.00465895]","Commerce de détail, à l’exception des automobiles et des motocycles"
lottery,A shop of which the main or only purpose is the sale of lottery tickets.,"[-2.05673089e-01  2.51349131e-01  6.21871385e-01 -3.74628853e-01
  6.45466087e-01 -1.60471554e-02 -1.49135054e-01 -2.43551006e-01
 -1.03611118e-04]","Commerce de gros, à l’exception des automobiles et des motocycles"
newsagent,"Shop focused on selling newspapers, cigarettes, other goods","[-0.19876508  0.22184872  0.50417108 -0.27116901  0.53311292 -0.02883173
 -0.12477008 -0.17014185  0.02921623]",Industries alimentaires
stationery,Shop focused on selling office supplies,"[-0.20730264  0.22820116  0.61116232 -0.28814637  0.61405857 -0.05059859
 -0.10408441 -0.19325421  0.002873  ]",Industrie pharmaceutique
ticket,"Shop focused on selling tickets for concerts, events, public transport, …","[-0.19100722  0.21846364  0.55706124 -0.3372236   0.55243083 -0.01039046
 -0.1237979  -0.18710262 -0.03842658]","Activités des agences de voyage, voyagistes, services de réservation et activités connexes"
bookmaker,A shop that takes bets on sporting and other events at agreed upon odds.,"[-0.15471542  0.2462994   0.6190674  -0.37438114  0.63401694 -0.01779328
 -0.19344943 -0.20940081  0.01634585]",Autres industries manufacturières
cannabis,a shop primarily and legally selling non-medical cannabis products,"[-0.19246156  0.25278545  0.60194495 -0.36335988  0.58345348 -0.01972229
 -0.16329862 -0.16997581 -0.01930373]",Industries alimentaires
copyshop,Shop focused on selling photocopying and printing services.,"[-0.2023375   0.22591929  0.65572212 -0.38124084  0.62986417 -0.01090528
 -0.16397352 -0.18797283 -0.01785804]",Industries alimentaires
dry_cleaning,Shop or kiosk offering a clothes dry cleaning service. The actual cleaning may be done elsewhere.,"[-0.18478109  0.27013233  0.67538544 -0.37100233  0.66690497 -0.00600438
 -0.16345134 -0.2299722   0.00346997]",Fabrication de textiles
e-cigarette,Shop focused on selling electronic cigarettes.,"[-0.22318842  0.20404871  0.51890133 -0.26445041  0.50904643 -0.03862223
 -0.13472479 -0.14438458  0.00866815]",Industries alimentaires
funeral_directors,"Providing services related to funeral arrangements, may also be known as a ""funeral parlour"" or ""undertakers"".","[-0.22114447  0.24714872  0.69433714 -0.38210499  0.71076496 -0.02486503
 -0.16826723 -0.19717037  0.01135604]",Services d’information
laundry,"A shop to get your normal clothes washed. Might be self service coin operated, with service staff for drop off, …","[-0.17189082  0.24529562  0.63793556 -0.38273227  0.67065941 -0.00849117
 -0.16281056 -0.19978938 -0.0195615 ]",Fabrication de textiles
money_lender,A money lender offers small personal loans at high rates of interest.,"[-0.15239595  0.17953381  0.54909602 -0.36753469  0.59406319 -0.04467609
 -0.20876955 -0.23001098  0.00859651]",Activités auxiliaires de services financiers et d’assurance
outpost,Shop primarily used to pick-up items ordered online.,"[-0.21307411  0.26934361  0.65562604 -0.3413274   0.63407598 -0.01965634
 -0.14621588 -0.17655319  0.00261308]",Industries alimentaires
party,"A shop for party and festival supplies, like costumes, etc.","[-0.14866213  0.2119909   0.63555298 -0.37667415  0.59985667  0.01474393
 -0.16997136 -0.21171602  0.01180849]",Autres industries manufacturières
pawnbroker,A pawnbroker (or pawnshop) is an individual or business that offers secured loans to people. See also shop=second_hand,"[-0.2043028   0.25480342  0.68566003 -0.40159914  0.72648118 -0.01932732
 -0.19685912 -0.25517147  0.01741882]","Activités des services financiers, hors assurance et caisses de retraite"
pest_control,"Shop selling pest control goods to exterminate rats, insects etc.","[-1.79763114e-01  2.44045010e-01  6.10233670e-01 -3.68200630e-01
  6.24103010e-01  9.85324383e-05 -1.45253381e-01 -1.70833085e-01
  4.33149027e-02]",Autres industries manufacturières
pet,"A shop for pets, animals and toys or food for them.","[-0.17972921  0.22581206  0.61195194 -0.38432066  0.62849116  0.0138156
 -0.16936858 -0.19332475 -0.01427384]",Activités vétérinaires
pet_grooming,A shop offering grooming services for pets (most frequently dogs),"[-0.16852455  0.22717559  0.70386653 -0.4358959   0.65648162  0.03780215
 -0.1862928  -0.19219377 -0.04227775]",Activités vétérinaires
pyrotechnics,"Store of pyrotechnics: fireworks, firecrackers, sparklers etc.","[-0.19542532  0.19339194  0.64339428 -0.39834252  0.65519162  0.03269646
 -0.20133693 -0.20158164  0.03514462]",Fabrication d’équipements électriques
religion,"Shop focused on selling religious articles, church shop. See also religion=*","[-0.22196628  0.23494146  0.61408437 -0.31662643  0.62178245 -0.047825
 -0.13909913 -0.17131537  0.00539817]",Autres industries extractives
rental,Shop that rents different kinds of vehicles or (sport) equipment,"[-0.19054536  0.22964855  0.60684733 -0.311034    0.62171122 -0.01948186
 -0.15716445 -0.21074534  0.01532137]",Industries alimentaires
storage_rental,self storage,[0. 0. 0. 0. 0. 0. 0. 0. 0.],Réparation et installation de machines et d’équipements
tobacco,"Shop focused on selling tobacco, cigarettes and their related accessories.","[-0.19424199  0.23317317  0.57700962 -0.30371246  0.534846   -0.02281383
 -0.13108157 -0.16622613  0.01256486]",Industries alimentaires
toys,Shop focused on selling toys.,"[-0.2186467   0.18984686  0.50210881 -0.27567893  0.5539899  -0.02914957
 -0.09287219 -0.13300322 -0.01855872]",Autres industries manufacturières
travel_agency,Shop focused on selling tickets for travelling. Also known as a tour operator.,"[-0.20217736  0.22854004  0.58812603 -0.34699626  0.59285331 -0.00874539
 -0.14210307 -0.18410852 -0.01145364]","Activités des agences de voyage, voyagistes, services de réservation et activités connexes"
vacant,"An unused vacant shop. Can be used for an empty or abandoned retail space that seems to be available for lease or purchase where a retail store (or similar businesses) may be opened. No store is being operated in a vacant shop, and neither goods nor services are being offered. This tag can be used after a store was closed or for a newly built shop before any busisness was operated in the shop.","[-0.21973296  0.25629409  0.68424411 -0.39687153  0.71623321 -0.02113274
 -0.17935414 -0.22710228 -0.00886697]",Activités de location et location‑bail
weapons,"Shop focused on selling weapons like knives, guns etc.","[-0.19229829  0.19979373  0.57011489 -0.31401345  0.5561707  -0.02964058
 -0.12153946 -0.15596652  0.01954318]",Industries alimentaires
yes,"A shop of unspecified type – it is always better to use another value that gives info about shop type, if possible. Used also as indicator that feature such as fuel station has a shop.","[-0.18372054  0.27257626  0.64306153 -0.41358089  0.67891869 -0.00261065
 -0.19486082 -0.21996328  0.01074513]",Autres industries manufacturières
